1100000000,서울특별시,
1111000000,종로구,
1111051500,청운효자동,종로구
1111053000,사직동,종로구
1111054000,삼청동,종로구
1111055000,부암동,종로구
1111056000,평창동,종로구
1111057000,무악동,종로구
1111058000,교남동,종로구
1111060000,가회동,종로구
1111061500,종로1.2.3.4가동,종로구
1111063000,종로5.6가동,종로구
1111064000,이화동,종로구
1111065000,혜화동,종로구
1111067000,창신제1동,종로구
1111068000,창신제2동,종로구
1111069000,창신제3동,종로구
1111070000,숭인제1동,종로구
1111071000,숭인제2동,종로구
1114000000,중구,
1114052000,소공동,중구
1114054000,회현동,중구
1114055000,명동,중구
1114057000,필동,중구
1114058000,장충동,중구
1114059000,광희동,중구
1114060500,을지로동,중구
1114061500,신당동,중구
1114062500,다산동,중구
1114063500,약수동,중구
1114064500,청구동,중구
1114065000,신당제5동,중구
1114066500,동화동,중구
1114067000,황학동,중구
1114068000,중림동,중구
1117000000,용산구,
1117051000,후암동,용산구
1117052000,용산2가동,용산구
1117053000,남영동,용산구
1117055500,청파동,용산구
1117056000,원효로제1동,용산구
1117057000,원효로제2동,용산구
1117058000,효창동,용산구
1117059000,용문동,용산구
1117062500,한강로동,용산구
1117063000,이촌제1동,용산구
1117064000,이촌제2동,용산구
1117065000,이태원제1동,용산구
1117066000,이태원제2동,용산구
1117068500,한남동,용산구
1117069000,서빙고동,용산구
1117070000,보광동,용산구
1120000000,성동구,
1120052000,왕십리제2동,성동구
1120053500,왕십리도선동,성동구
1120054000,마장동,성동구
1120055000,사근동,성동구
1120056000,행당제1동,성동구
1120057000,행당제2동,성동구
1120058000,응봉동,성동구
1120059000,금호1가동,성동구
1120061500,금호2.3가동,성동구
1120062000,금호4가동,성동구
1120064500,옥수동,성동구
1120065000,성수1가제1동,성동구
1120066000,성수1가제2동,성동구
1120067000,성수2가제1동,성동구
1120069000,성수2가제3동,성동구
1120072000,송정동,성동구
1120079000,용답동,성동구
1121500000,광진구,
1121571000,화양동,광진구
1121573000,군자동,광진구
1121574000,중곡제1동,광진구
1121575000,중곡제2동,광진구
1121576000,중곡제3동,광진구
1121577000,중곡제4동,광진구
1121578000,능동,광진구
1121581000,광장동,광진구
1121582000,자양제1동,광진구
1121583000,자양제2동,광진구
1121584000,자양제3동,광진구
1121584700,자양제4동,광진구
1121585000,구의제1동,광진구
1121586000,구의제2동,광진구
1121587000,구의제3동,광진구
1123000000,동대문구,
1123053600,용신동,동대문구
1123054500,제기동,동대문구
1123056000,전농제1동,동대문구
1123057000,전농제2동,동대문구
1123060000,답십리제1동,동대문구
1123061000,답십리제2동,동대문구
1123065000,장안제1동,동대문구
1123066000,장안제2동,동대문구
1123070500,청량리동,동대문구
1123071000,회기동,동대문구
1123072000,휘경제1동,동대문구
1123073000,휘경제2동,동대문구
1123074000,이문제1동,동대문구
1123075000,이문제2동,동대문구
1126000000,중랑구,
1126052000,면목제2동,중랑구
1126054000,면목제4동,중랑구
